"","Argentina","Bolivia","Brazil","Chile","Colombia","Ecuador","Guyana","Peru","Paraguay","Suriname","Uruguay","Venezuela, RB"
"1960","1.550000",NA,"2.679135","3.118406","1.884323","2.376237",NA,"2.508001","2.528964",NA,NA,"3.058044"
"1961","2.140000","1.203464","2.364066","3.527447","2.143256","2.046767",NA,"2.644757","2.279150",NA,NA,"1.422222"
"1962","2.660000","1.158700","2.398683","3.043709","3.099415","2.045454",NA,"2.425068","2.297392",NA,NA,"2.312902"
"1963","1.680000","1.326412","2.260839","2.865396","3.515140","1.765212",NA,"3.316391","2.398854",NA,NA,"2.553588"
"1964","1.150000",NA,"2.014498","2.635187","3.180804","1.909954",NA,"3.340228","2.403766",NA,NA,"2.446689"
"1965","1.070000",NA,"3.352092","2.885713","3.190947","2.069565",NA,"3.098346","2.633088",NA,NA,"2.636436"
"1966","1.168000",NA,"3.021982","2.735921","3.165245","1.824222",NA,"2.843567","2.916845",NA,NA,"2.656883"
"1967","1.400000",NA,"2.856972","2.713633","3.117365","1.804423",NA,"4.703633","3.031559",NA,NA,"2.858515"
"1968","1.685714","1.350152","2.649740","2.527068","2.385372","1.923973",NA,"2.357374","3.211050",NA,NA,"2.677376"
"1969","1.937500","1.318225","2.615590","2.260900","2.054924","2.370616",NA,"2.387560","3.161486",NA,NA,"2.498923"
"1970","1.877778","1.612216","2.887290","4.450451","2.259547","1.833690",NA,"3.506440","3.315872",NA,NA,"2.294016"
"1971","1.807692","1.391586","2.619047","6.264815","3.374174","1.854025",NA,"3.619516","3.225225",NA,NA,"2.699408"
"1972","1.823810","1.595542","2.435812","6.625414","1.967196","1.990023",NA,"3.630811","3.846463",NA,"2.198068","2.829268"
"1973","1.848571","1.622636","2.154651","6.283821","1.690245","1.976570","1.645963","3.925390","3.417437",NA,"3.764155","2.470990"
"1974","1.659184","1.836654","1.941353","7.109561","1.575780","2.015890","2.850575","3.932961","2.564572",NA,"4.531456","2.307761"
"1975","2.041958","2.371237","1.972144","6.742537","1.740268","2.366809","6.958106","5.216285","3.125004",NA,"4.286064","2.591025"
"1976","3.781291","2.367157","2.002753","6.085051","1.493603","2.200688","8.352601","5.676913","2.989957",NA,"3.481564","1.887491"
"1977","4.008600","2.247499","1.687726","6.915245","1.438487","3.080372","6.074583","8.214387","2.888645",NA,"3.745920","2.067947"
"1978","4.719144","2.598970","1.599672","6.728122","1.550319","2.142726","3.890845","6.199702","2.958532",NA,"3.621080","2.105761"
"1979","4.673356","2.708461","1.521932","6.332556","1.673929","1.987494","3.715013","3.352436","2.026398",NA,"3.800434","1.915856"
"1980","3.098958","3.172400","1.138434","6.482093","1.830122","1.781225","3.700265","4.559068","2.181449",NA,"4.696109","1.695515"
"1981","3.465347","3.902203","1.143149","7.022119","1.755120","1.677840","3.944897","3.984820","2.527860",NA,"6.255461","1.521686"
"1982","2.704558","1.981847","1.303534","8.877268","1.713851","1.654003","5.126556","5.112652","3.803298",NA,"6.449307","2.248773"
"1983","2.738813","1.499321","1.254580","7.575223","2.219938","1.574778","4.516349","4.845956","3.645242",NA,"5.381984","2.970740"
"1984","2.162039","2.170842","1.199541","7.605406","2.325895","1.485232","4.674706","3.357558","3.508185",NA,"4.575646","2.292052"
"1985","2.299717","2.013993","1.429523","6.900609","2.054017","1.779739","8.436864","3.870149","3.757635",NA,"4.304221","1.369619"
"1986","2.313679","2.345549","1.220389","6.288002","1.944620","1.837387","5.355856","3.349296","3.804066",NA,"4.121280","1.649971"
"1987","2.284387","2.377263","1.743994","5.638071","1.983135","1.966316","3.086089","3.411496","2.773192",NA,"3.039422","1.633698"
"1988","2.12493922313663","2.0209813195780897","2.1180722049861997","4.1399960796771804","2.19924475548319","1.9776268477826602","2.6637660140198203","2.1852009625015802","3.1954734453196001",NA,"3.1566469093988103","1.81610508280982"
"1989","1.8803655923922298","2.1562886995000801","2.6862499999999998","3.5900295089546801","2.1881838074398199","1.9239891930850399","1.5837366892546001","2.1904761904761898","2.42576375579472",NA,"3.5291267414332799","2.79359694117964"
"1990","1.4509092","2.8158833","2.3638410","3.4016549","1.8601593","1.8903238","0.9058283","2.6823788","2.1318759",NA,"3.5274017","1.5180366"
"1991","1.5069266","2.6883249","1.9633333","2.8498428","1.8534818","1.7783602","0.5828928","2.0198159","2.8293270",NA,"2.3947122","1.8403353"
"1992","1.4212222","2.5061188","1.5215289","2.6285105","2.1066779","1.6672066","0.9696923","2.5070350","2.3688900",NA,"2.8495148","1.6434789"
"1993","1.4228029005729301","1.91634980988593","1.9279228149829699","2.7069229372552099","2.52526701829097","1.82142150069293","0.95095223597862111","2.7461024691821501","2.1785476648296402",NA,"2.7923984520877898","2.1452538550395102"
"1994","1.457039","2.250301","2.016008","2.597545","2.508407","1.559343","1.005937","2.474198","2.046766",NA,"2.577706","1.590747"
"1995","1.47307310721151","2.0961622579114101","1.8621369803337899","2.5620646291664899","2.83162658057701","2.3413201102145598","0.91552038608376496","2.6353240993562701","2.2834245690128001",NA,"2.7146366745292601","1.54906215977261"
"1996","1.2412272643762601","1.9868075425051801","1.6548434995029102","2.44932089847955","4.4453932539643102","1.95039752732418","0.78783093358104994","2.50202659772583","2.0637899367078099",NA,"2.8059383904222699","1.03948338355238"
"1997","1.14013911131295","2.27361030066829","1.5776883155177401","2.4982019239413797","2.8017878857593601","2.10417123484069",NA,"1.99676996833552","1.6856803065860899",NA,"2.3997207469136299","1.7952850521657899"
"1998","1.13631802186333","2.6911108595690498","1.6622919197582402","2.5898372262132101","3.4409857420470797","2.3572348647488197",NA,"2.0166613419493302","1.5431537152831101",NA,"2.2581336824168003","1.5885552045427302"
"1999","1.22035954754993","2.13328709491197","1.6454746665698701","2.7136315935113","3.7627420578629596","1.7519250460176301",NA,"1.9306307187099199","1.3887678520379598",NA,"2.3944609705067998","1.43719900378467"
"2000","1.1488226766688698","2.0629712007857002","1.73072614713627","2.7032820463964198","3.0316835386585201","1.45207595274333","1.7659772484290002","1.7889668486954402","1.24493945384649",NA,"2.43597728787045","1.5265701288490501"
"2001","1.1842335418705801","2.2649064980117197","1.9518824453253198","2.6674951732096499","3.3238728188053202","1.5693759817795399","2.0179456234117699","1.7520201296483899","1.07463481723327",NA,"2.5025776621771598","1.5551079111325499"
"2002","1.0918804785974801","2.0294518747475001","1.8957711991561699","2.5520930910302","3.4171276235819699","1.7688919853255498","2.29328668097935","1.5418402208765201","0.97123693298857994",NA,"2.53014006008996","1.1533735955117099"
"2003","1.0608951","2.1457925","1.5034776","2.7338432","3.4639887","2.2785534","2.1997168","1.5094995","0.8257554",NA,"2.2375453","1.1826906"
"2004","0.8832954","1.9249822","1.4612684","2.7079751","3.4650152","1.9403328","2.8093248","1.3822235","0.8776301",NA,"2.0407280","1.2883018"
"2005","0.84715478388596099","1.7725430321536999","1.5240133925210699","2.5215028767362102","3.3528733875045598","2.29840279075247","2.24354231798175","1.6047463396522501","0.72148039978202894",NA,"2.0003858660103799","1.8317137492462499"
"2006","0.7882339","1.5676561","1.4810849","2.4908318","3.2761306","2.0298259","1.3148836","1.4691597","0.7934551",NA,"2.0061781","1.9784922"
"2007","0.79254817503136199","1.68658078420332","1.4662920999290201","2.3188022022883499","3.2667396629797301","2.5682358201965902","1.4348917512892201","1.30393825778697","0.74143684839603796",NA,"1.7771670882850699","1.8889931062002498"
"2008","0.7627565","1.9622682","1.4419240","2.5858319","3.7097443","2.6650417","1.5874597","1.2364213","0.6841935",NA,"1.8695247","1.7935529"
"2009","0.88650857668638505","1.99410155511924","1.53862567601211","2.2670395690905303","3.8632945405402199","3.1174180881202802","1.5331882559977501","1.52762458746035","0.75395069904967904",NA,"1.8226133795888702","1.2310704154080701"
"2010","0.8148781","1.6662436","1.5394070","2.2422354","3.6311486","3.0105513","1.3754369","1.4721691","0.7511464",NA,"1.8758079","1.0134886"
"2011","0.7642871","1.6841200","1.4118512","2.2560430","3.0727834","3.0951101","1.2581277","1.3954181","0.8456238",NA,"1.7197489","1.1304053"
"2012","0.7848247","1.8455947","1.3786565","2.0469416","3.1667771","2.9454529","1.1764575","1.5120653","0.9641791",NA,"1.8036698","1.3414717"
"2013","0.8377364","1.8409068","1.3294461","1.9864195","3.2888246","2.8758907","1.1760356","1.6702617","0.9620634",NA,"1.8165513","1.6695518"
"2014","0.8781009","1.8968406","1.3302444","1.9582076","3.1322277","2.7392308","1.2765634","1.5848634","0.9890892",NA,"1.8074295","1.1618168"
"2015","0.8501286","1.7439710","1.3655172","1.8978617","3.1308926","2.6160742","1.4584814","1.7220361","1.0688478",NA,"1.8205881","0.9413760"
"2016","0.8131401","1.6344209","1.3501506","1.9184833","3.0750720","2.5147668","1.5054320","1.2997395","0.9518835",NA,"1.8830382","0.4540460"
"2017","0.8561379","1.5423974","1.4195266","1.9356127","3.1862726","2.3612634","1.6794935","1.2421353","0.8939483",NA,"1.9785524","0.4878441"
"2018","0.8545610","1.4965502","1.4749015","1.8873839","3.1725602","2.3767115","1.6932586","1.1871449","0.9305827",NA,"1.9507741",NA
"2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
