Count,Phat
96,0.48
99,0.495
95,0.475
103,0.515
102,0.51
104,0.52
107,0.535
93,0.465
102,0.51
102,0.51
96,0.48
103,0.515
114,0.57
103,0.515
120,0.6
89,0.445
95,0.475
102,0.51
92,0.46
97,0.485
110,0.55
110,0.55
93,0.465
93,0.465
107,0.535
96,0.48
106,0.53
101,0.505
99,0.495
98,0.49
99,0.495
96,0.48
105,0.525
110,0.55
110,0.55
106,0.53
103,0.515
106,0.53
96,0.48
104,0.52
106,0.53
100,0.5
106,0.53
113,0.565
107,0.535
100,0.5
103,0.515
92,0.46
101,0.505
103,0.515
91,0.455
93,0.465
104,0.52
106,0.53
93,0.465
111,0.555
109,0.545
103,0.515
110,0.55
96,0.48
107,0.535
117,0.585
101,0.505
106,0.53
101,0.505
94,0.47
96,0.48
101,0.505
100,0.5
111,0.555
100,0.5
111,0.555
96,0.48
91,0.455
99,0.495
105,0.525
103,0.515
115,0.575
100,0.5
99,0.495
94,0.47
103,0.515
101,0.505
103,0.515
100,0.5
99,0.495
102,0.51
98,0.49
98,0.49
102,0.51
100,0.5
89,0.445
93,0.465
103,0.515
111,0.555
110,0.55
108,0.54
101,0.505
92,0.46
94,0.47
95,0.475
103,0.515
97,0.485
102,0.51
105,0.525
92,0.46
103,0.515
106,0.53
96,0.48
102,0.51
92,0.46
106,0.53
93,0.465
115,0.575
96,0.48
97,0.485
98,0.49
99,0.495
102,0.51
100,0.5
86,0.43
101,0.505
94,0.47
102,0.51
91,0.455
106,0.53
105,0.525
100,0.5
104,0.52
88,0.44
106,0.53
100,0.5
87,0.435
116,0.58
105,0.525
103,0.515
98,0.49
105,0.525
95,0.475
104,0.52
105,0.525
103,0.515
94,0.47
100,0.5
104,0.52
91,0.455
102,0.51
104,0.52
97,0.485
109,0.545
91,0.455
101,0.505
88,0.44
96,0.48
97,0.485
95,0.475
98,0.49
108,0.54
92,0.46
88,0.44
87,0.435
105,0.525
98,0.49
101,0.505
106,0.53
95,0.475
95,0.475
103,0.515
93,0.465
86,0.43
96,0.48
98,0.49
85,0.425
97,0.485
90,0.45
98,0.49
104,0.52
97,0.485
101,0.505
105,0.525
91,0.455
105,0.525
110,0.55
105,0.525
90,0.45
103,0.515
103,0.515
99,0.495
100,0.5
97,0.485
105,0.525
97,0.485
98,0.49
110,0.55
105,0.525
92,0.46
106,0.53
102,0.51
98,0.49
104,0.52
105,0.525
109,0.545
108,0.54
115,0.575
114,0.57
107,0.535
96,0.48
91,0.455
111,0.555
95,0.475
89,0.445
87,0.435
99,0.495
106,0.53
103,0.515
110,0.55
89,0.445
87,0.435
99,0.495
99,0.495
100,0.5
102,0.51
119,0.595
100,0.5
94,0.47
106,0.53
93,0.465
99,0.495
90,0.45
99,0.495
96,0.48
97,0.485
100,0.5
97,0.485
110,0.55
104,0.52
106,0.53
112,0.56
106,0.53
83,0.415
104,0.52
116,0.58
102,0.51
94,0.47
115,0.575
106,0.53
115,0.575
98,0.49
97,0.485
110,0.55
102,0.51
106,0.53
94,0.47
102,0.51
97,0.485
102,0.51
95,0.475
92,0.46
105,0.525
103,0.515
90,0.45
104,0.52
109,0.545
99,0.495
101,0.505
109,0.545
108,0.54
108,0.54
100,0.5
101,0.505
105,0.525
100,0.5
110,0.55
110,0.55
104,0.52
102,0.51
102,0.51
96,0.48
105,0.525
107,0.535
98,0.49
97,0.485
102,0.51
99,0.495
105,0.525
108,0.54
106,0.53
97,0.485
105,0.525
91,0.455
96,0.48
104,0.52
100,0.5
112,0.56
111,0.555
106,0.53
109,0.545
107,0.535
94,0.47
96,0.48
96,0.48
103,0.515
91,0.455
107,0.535
94,0.47
100,0.5
100,0.5
106,0.53
110,0.55
97,0.485
110,0.55
101,0.505
98,0.49
99,0.495
107,0.535
98,0.49
97,0.485
89,0.445
103,0.515
93,0.465
115,0.575
87,0.435
108,0.54
95,0.475
100,0.5
102,0.51
98,0.49
100,0.5
102,0.51
104,0.52
100,0.5
90,0.45
99,0.495
99,0.495
98,0.49
95,0.475
95,0.475
103,0.515
96,0.48
106,0.53
91,0.455
97,0.485
94,0.47
108,0.54
91,0.455
94,0.47
111,0.555
107,0.535
110,0.55
97,0.485
95,0.475
106,0.53
107,0.535
103,0.515
101,0.505
104,0.52
108,0.54
95,0.475
91,0.455
102,0.51
99,0.495
104,0.52
93,0.465
94,0.47
105,0.525
88,0.44
96,0.48
98,0.49
102,0.51
99,0.495
91,0.455
91,0.455
103,0.515
108,0.54
98,0.49
96,0.48
98,0.49
92,0.46
97,0.485
109,0.545
97,0.485
106,0.53
103,0.515
108,0.54
96,0.48
97,0.485
103,0.515
94,0.47
94,0.47
99,0.495
99,0.495
102,0.51
93,0.465
97,0.485
98,0.49
92,0.46
99,0.495
103,0.515
97,0.485
103,0.515
93,0.465
105,0.525
94,0.47
94,0.47
84,0.42
106,0.53
102,0.51
107,0.535
99,0.495
100,0.5
95,0.475
103,0.515
89,0.445
102,0.51
104,0.52
108,0.54
98,0.49
90,0.45
96,0.48
107,0.535
103,0.515
105,0.525
108,0.54
102,0.51
101,0.505
96,0.48
114,0.57
107,0.535
105,0.525
90,0.45
97,0.485
102,0.51
99,0.495
102,0.51
105,0.525
95,0.475
90,0.45
93,0.465
105,0.525
93,0.465
94,0.47
100,0.5
104,0.52
97,0.485
102,0.51
101,0.505
100,0.5
100,0.5
109,0.545
105,0.525
105,0.525
101,0.505
96,0.48
94,0.47
98,0.49
89,0.445
105,0.525
103,0.515
102,0.51
112,0.56
96,0.48
95,0.475
111,0.555
100,0.5
106,0.53
100,0.5
115,0.575
87,0.435
92,0.46
106,0.53
111,0.555
101,0.505
96,0.48
98,0.49
89,0.445
95,0.475
110,0.55
92,0.46
99,0.495
93,0.465
95,0.475
109,0.545
103,0.515
87,0.435
93,0.465
92,0.46
95,0.475
103,0.515
98,0.49
81,0.405
104,0.52
96,0.48
96,0.48
99,0.495
108,0.54
113,0.565
102,0.51
91,0.455
97,0.485
97,0.485
106,0.53
102,0.51
102,0.51
114,0.57
97,0.485
103,0.515
95,0.475
115,0.575
118,0.59
105,0.525
93,0.465
91,0.455
103,0.515
100,0.5
83,0.415
96,0.48
111,0.555
108,0.54
109,0.545
103,0.515
105,0.525
99,0.495
95,0.475
100,0.5
102,0.51
92,0.46
102,0.51
111,0.555
99,0.495
112,0.56
107,0.535
106,0.53
93,0.465
91,0.455
103,0.515
92,0.46
100,0.5
94,0.47
95,0.475
101,0.505
96,0.48
98,0.49
107,0.535
101,0.505
103,0.515
91,0.455
96,0.48
105,0.525
80,0.4
111,0.555
112,0.56
91,0.455
86,0.43
92,0.46
91,0.455
105,0.525
89,0.445
95,0.475
111,0.555
106,0.53
110,0.55
110,0.55
93,0.465
86,0.43
97,0.485
104,0.52
110,0.55
100,0.5
107,0.535
99,0.495
87,0.435
96,0.48
97,0.485
100,0.5
113,0.565
89,0.445
101,0.505
93,0.465
108,0.54
93,0.465
101,0.505
98,0.49
103,0.515
103,0.515
92,0.46
102,0.51
103,0.515
99,0.495
101,0.505
96,0.48
102,0.51
102,0.51
103,0.515
102,0.51
93,0.465
102,0.51
97,0.485
105,0.525
113,0.565
98,0.49
100,0.5
97,0.485
97,0.485
102,0.51
103,0.515
98,0.49
104,0.52
111,0.555
103,0.515
109,0.545
109,0.545
102,0.51
94,0.47
98,0.49
103,0.515
99,0.495
99,0.495
105,0.525
105,0.525
101,0.505
99,0.495
117,0.585
103,0.515
107,0.535
103,0.515
102,0.51
92,0.46
96,0.48
100,0.5
105,0.525
113,0.565
112,0.56
87,0.435
97,0.485
107,0.535
92,0.46
93,0.465
96,0.48
90,0.45
92,0.46
95,0.475
105,0.525
103,0.515
99,0.495
92,0.46
102,0.51
97,0.485
111,0.555
103,0.515
107,0.535
106,0.53
110,0.55
99,0.495
101,0.505
105,0.525
87,0.435
100,0.5
104,0.52
91,0.455
98,0.49
84,0.42
99,0.495
117,0.585
100,0.5
98,0.49
100,0.5
95,0.475
103,0.515
109,0.545
99,0.495
103,0.515
97,0.485
91,0.455
101,0.505
95,0.475
100,0.5
89,0.445
105,0.525
101,0.505
101,0.505
98,0.49
112,0.56
106,0.53
113,0.565
100,0.5
95,0.475
103,0.515
111,0.555
83,0.415
100,0.5
90,0.45
107,0.535
96,0.48
97,0.485
84,0.42
90,0.45
101,0.505
103,0.515
93,0.465
104,0.52
90,0.45
95,0.475
99,0.495
104,0.52
89,0.445
94,0.47
96,0.48
104,0.52
96,0.48
107,0.535
107,0.535
101,0.505
106,0.53
99,0.495
103,0.515
100,0.5
117,0.585
107,0.535
108,0.54
108,0.54
98,0.49
98,0.49
97,0.485
102,0.51
106,0.53
95,0.475
98,0.49
95,0.475
109,0.545
98,0.49
99,0.495
111,0.555
99,0.495
94,0.47
96,0.48
100,0.5
93,0.465
106,0.53
115,0.575
96,0.48
97,0.485
94,0.47
102,0.51
103,0.515
96,0.48
117,0.585
111,0.555
107,0.535
90,0.45
104,0.52
92,0.46
92,0.46
103,0.515
93,0.465
95,0.475
91,0.455
96,0.48
101,0.505
90,0.45
108,0.54
95,0.475
107,0.535
98,0.49
90,0.45
107,0.535
103,0.515
102,0.51
93,0.465
107,0.535
92,0.46
99,0.495
100,0.5
96,0.48
113,0.565
90,0.45
102,0.51
112,0.56
89,0.445
94,0.47
99,0.495
98,0.49
98,0.49
94,0.47
92,0.46
106,0.53
110,0.55
102,0.51
103,0.515
96,0.48
105,0.525
102,0.51
87,0.435
103,0.515
84,0.42
88,0.44
96,0.48
88,0.44
104,0.52
108,0.54
105,0.525
112,0.56
99,0.495
84,0.42
108,0.54
104,0.52
89,0.445
104,0.52
91,0.455
101,0.505
94,0.47
99,0.495
101,0.505
102,0.51
104,0.52
97,0.485
111,0.555
101,0.505
92,0.46
109,0.545
99,0.495
100,0.5
92,0.46
111,0.555
98,0.49
97,0.485
98,0.49
101,0.505
115,0.575
87,0.435
95,0.475
102,0.51
96,0.48
102,0.51
104,0.52
100,0.5
111,0.555
99,0.495
96,0.48
106,0.53
98,0.49
96,0.48
99,0.495
104,0.52
98,0.49
107,0.535
106,0.53
111,0.555
90,0.45
104,0.52
94,0.47
91,0.455
106,0.53
100,0.5
106,0.53
97,0.485
106,0.53
108,0.54
91,0.455
107,0.535
98,0.49
106,0.53
107,0.535
99,0.495
97,0.485
106,0.53
107,0.535
101,0.505
106,0.53
101,0.505
108,0.54
91,0.455
101,0.505
99,0.495
96,0.48
90,0.45
88,0.44
93,0.465
106,0.53
107,0.535
91,0.455
100,0.5
95,0.475
110,0.55
96,0.48
95,0.475
90,0.45
97,0.485
95,0.475
113,0.565
93,0.465
98,0.49
91,0.455
98,0.49
106,0.53
104,0.52
95,0.475
104,0.52
91,0.455
105,0.525
105,0.525
100,0.5
105,0.525
91,0.455
86,0.43
87,0.435
102,0.51
100,0.5
94,0.47
89,0.445
108,0.54
98,0.49
92,0.46
99,0.495
98,0.49
100,0.5
99,0.495
99,0.495
95,0.475
100,0.5
105,0.525
92,0.46
101,0.505
93,0.465
99,0.495
95,0.475
87,0.435
106,0.53
101,0.505
96,0.48
98,0.49
103,0.515
103,0.515
97,0.485
111,0.555
104,0.52
91,0.455
114,0.57
107,0.535
101,0.505
99,0.495
106,0.53
101,0.505
91,0.455
92,0.46
97,0.485
116,0.58
105,0.525
96,0.48
102,0.51
99,0.495
95,0.475
112,0.56
98,0.49
105,0.525
107,0.535
97,0.485
89,0.445
101,0.505
99,0.495
96,0.48
95,0.475
92,0.46
97,0.485
96,0.48
103,0.515
110,0.55
102,0.51
102,0.51
107,0.535
91,0.455
97,0.485
98,0.49
92,0.46
94,0.47
103,0.515
114,0.57
95,0.475
96,0.48
103,0.515
96,0.48
98,0.49
101,0.505
102,0.51
101,0.505
95,0.475
108,0.54
87,0.435
89,0.445
103,0.515
102,0.51
96,0.48
105,0.525
96,0.48
92,0.46
106,0.53
107,0.535
105,0.525
108,0.54
93,0.465
109,0.545
107,0.535
115,0.575
96,0.48
103,0.515
97,0.485
108,0.54
100,0.5
94,0.47
101,0.505
110,0.55
108,0.54
85,0.425
97,0.485
111,0.555
93,0.465
103,0.515
109,0.545
103,0.515
102,0.51
101,0.505
96,0.48
102,0.51
93,0.465
106,0.53
97,0.485
110,0.55
90,0.45
98,0.49
101,0.505
109,0.545
103,0.515
97,0.485
104,0.52
99,0.495
95,0.475
93,0.465
107,0.535
117,0.585
96,0.48
87,0.435
105,0.525
110,0.55
92,0.46
77,0.385
90,0.45
99,0.495
102,0.51
105,0.525
112,0.56
100,0.5
107,0.535
100,0.5
97,0.485
99,0.495
103,0.515
99,0.495
98,0.49
96,0.48
115,0.575
95,0.475
97,0.485
80,0.4
110,0.55
93,0.465
123,0.615
93,0.465
97,0.485
95,0.475
102,0.51
100,0.5
92,0.46
108,0.54
99,0.495
110,0.55
106,0.53
111,0.555
88,0.44
118,0.59
96,0.48
107,0.535
100,0.5
107,0.535
102,0.51
94,0.47
99,0.495
94,0.47
105,0.525
94,0.47
95,0.475
110,0.55
97,0.485
103,0.515
104,0.52
109,0.545
112,0.56
110,0.55
114,0.57
92,0.46
99,0.495
100,0.5
109,0.545
99,0.495
111,0.555
107,0.535
109,0.545
99,0.495
94,0.47
98,0.49
105,0.525
94,0.47
98,0.49
108,0.54
93,0.465
99,0.495
103,0.515
103,0.515
101,0.505
94,0.47
96,0.48
89,0.445
90,0.45
106,0.53
93,0.465
103,0.515
106,0.53
95,0.475
100,0.5
95,0.475
104,0.52
116,0.58
90,0.45
106,0.53
118,0.59
99,0.495
104,0.52
100,0.5
106,0.53
97,0.485
99,0.495
98,0.49
100,0.5
104,0.52
105,0.525
102,0.51
102,0.51
92,0.46
101,0.505
90,0.45
104,0.52
83,0.415
95,0.475
101,0.505
96,0.48
101,0.505
113,0.565
99,0.495
94,0.47
101,0.505
90,0.45
99,0.495
108,0.54
97,0.485
102,0.51
100,0.5
94,0.47
105,0.525
96,0.48
119,0.595
94,0.47
98,0.49
105,0.525
91,0.455
103,0.515
90,0.45
104,0.52
84,0.42
110,0.55
99,0.495
101,0.505
99,0.495
110,0.55
94,0.47
99,0.495
111,0.555
93,0.465
100,0.5
99,0.495
98,0.49
101,0.505
105,0.525
106,0.53
99,0.495
97,0.485
106,0.53
91,0.455
94,0.47
104,0.52
110,0.55
90,0.45
115,0.575
103,0.515
109,0.545
103,0.515
91,0.455
108,0.54
106,0.53
100,0.5
100,0.5
105,0.525
102,0.51
99,0.495
98,0.49
99,0.495
98,0.49
113,0.565
93,0.465
104,0.52
102,0.51
99,0.495
102,0.51
107,0.535
92,0.46
87,0.435
91,0.455
94,0.47
105,0.525
102,0.51
109,0.545
90,0.45
95,0.475
106,0.53
94,0.47
116,0.58
116,0.58
94,0.47
82,0.41
96,0.48
90,0.45
101,0.505
103,0.515
94,0.47
103,0.515
102,0.51
103,0.515
93,0.465
104,0.52
102,0.51
100,0.5
99,0.495
94,0.47
96,0.48
102,0.51
100,0.5
93,0.465
99,0.495
93,0.465
101,0.505
108,0.54
101,0.505
100,0.5
86,0.43
111,0.555
108,0.54
97,0.485
106,0.53
98,0.49
100,0.5
109,0.545
101,0.505
98,0.49
91,0.455
102,0.51
95,0.475
102,0.51
85,0.425
87,0.435
108,0.54
93,0.465
109,0.545
107,0.535
103,0.515
98,0.49
100,0.5
99,0.495
107,0.535
87,0.435
78,0.39
108,0.54
89,0.445
99,0.495
90,0.45
108,0.54
104,0.52
85,0.425
103,0.515
99,0.495
103,0.515
93,0.465
101,0.505
112,0.56
95,0.475
92,0.46
105,0.525
92,0.46
91,0.455
91,0.455
98,0.49
111,0.555
104,0.52
98,0.49
87,0.435
90,0.45
106,0.53
86,0.43
100,0.5
94,0.47
110,0.55
94,0.47
104,0.52
102,0.51
101,0.505
108,0.54
94,0.47
107,0.535
107,0.535
83,0.415
104,0.52
104,0.52
113,0.565
98,0.49
98,0.49
90,0.45
100,0.5
113,0.565
109,0.545
100,0.5
100,0.5
107,0.535
97,0.485
102,0.51
92,0.46
97,0.485
107,0.535
106,0.53
104,0.52
93,0.465
102,0.51
92,0.46
118,0.59
106,0.53
103,0.515
103,0.515
92,0.46
98,0.49
106,0.53
83,0.415
110,0.55
101,0.505
101,0.505
86,0.43
103,0.515
88,0.44
83,0.415
98,0.49
100,0.5
112,0.56
107,0.535
99,0.495
107,0.535
105,0.525
100,0.5
104,0.52
101,0.505
98,0.49
106,0.53
92,0.46
101,0.505
103,0.515
98,0.49
91,0.455
95,0.475
97,0.485
109,0.545
99,0.495
92,0.46
104,0.52
105,0.525
109,0.545
94,0.47
98,0.49
93,0.465
113,0.565
101,0.505
95,0.475
104,0.52
90,0.45
91,0.455
92,0.46
103,0.515
112,0.56
87,0.435
103,0.515
95,0.475
86,0.43
105,0.525
97,0.485
103,0.515
93,0.465
93,0.465
99,0.495
97,0.485
92,0.46
102,0.51
99,0.495
112,0.56
97,0.485
104,0.52
96,0.48
101,0.505
107,0.535
89,0.445
99,0.495
105,0.525
111,0.555
104,0.52
101,0.505
99,0.495
93,0.465
118,0.59
107,0.535
92,0.46
102,0.51
102,0.51
114,0.57
98,0.49
101,0.505
100,0.5
109,0.545
95,0.475
102,0.51
103,0.515
104,0.52
97,0.485
98,0.49
98,0.49
88,0.44
97,0.485
93,0.465
97,0.485
104,0.52
101,0.505
105,0.525
96,0.48
104,0.52
101,0.505
98,0.49
102,0.51
107,0.535
109,0.545
100,0.5
99,0.495
93,0.465
97,0.485
95,0.475
104,0.52
89,0.445
100,0.5
109,0.545
100,0.5
91,0.455
88,0.44
102,0.51
101,0.505
102,0.51
105,0.525
88,0.44
108,0.54
104,0.52
107,0.535
98,0.49
104,0.52
100,0.5
108,0.54
99,0.495
103,0.515
104,0.52
96,0.48
88,0.44
106,0.53
95,0.475
88,0.44
105,0.525
103,0.515
92,0.46
109,0.545
106,0.53
80,0.4
104,0.52
107,0.535
88,0.44
101,0.505
102,0.51
110,0.55
109,0.545
92,0.46
111,0.555
98,0.49
107,0.535
101,0.505
107,0.535
103,0.515
105,0.525
105,0.525
100,0.5
109,0.545
96,0.48
102,0.51
106,0.53
103,0.515
91,0.455
105,0.525
95,0.475
103,0.515
103,0.515
108,0.54
110,0.55
104,0.52
96,0.48
99,0.495
111,0.555
103,0.515
102,0.51
102,0.51
111,0.555
110,0.55
104,0.52
98,0.49
101,0.505
96,0.48
108,0.54
94,0.47
107,0.535
95,0.475
94,0.47
98,0.49
102,0.51
103,0.515
100,0.5
110,0.55
101,0.505
95,0.475
104,0.52
108,0.54
115,0.575
113,0.565
98,0.49
110,0.55
98,0.49
89,0.445
96,0.48
105,0.525
106,0.53
107,0.535
107,0.535
93,0.465
104,0.52
89,0.445
92,0.46
104,0.52
102,0.51
99,0.495
108,0.54
93,0.465
96,0.48
98,0.49
110,0.55
105,0.525
108,0.54
102,0.51
94,0.47
106,0.53
98,0.49
115,0.575
87,0.435
96,0.48
100,0.5
97,0.485
101,0.505
103,0.515
88,0.44
100,0.5
103,0.515
101,0.505
110,0.55
96,0.48
92,0.46
97,0.485
107,0.535
103,0.515
90,0.45
105,0.525
86,0.43
94,0.47
106,0.53
116,0.58
96,0.48
107,0.535
103,0.515
98,0.49
111,0.555
104,0.52
102,0.51
99,0.495
98,0.49
106,0.53
108,0.54
107,0.535
96,0.48
94,0.47
100,0.5
97,0.485
97,0.485
95,0.475
106,0.53
105,0.525
80,0.4
90,0.45
107,0.535
110,0.55
108,0.54
87,0.435
97,0.485
88,0.44
99,0.495
95,0.475
90,0.45
99,0.495
85,0.425
112,0.56
98,0.49
99,0.495
100,0.5
106,0.53
97,0.485
98,0.49
102,0.51
89,0.445
103,0.515
108,0.54
107,0.535
108,0.54
106,0.53
96,0.48
108,0.54
100,0.5
110,0.55
111,0.555
104,0.52
110,0.55
101,0.505
117,0.585
89,0.445
93,0.465
